NORTHERN DISTRIBUTION CO. · ITEM MASTER · exported 30/08/2026 08:12,,,,,,,,,,
"Box size in cm (L x W x H). Weight in grams unless it says kg. Turnover = order lines in the last 90 days, for reference only.",,,,,,,,,,
Item code,Description,Family,Box size (cm),Weight,Current stock,Units per box,Stackable,Storage,90d turnover,Comment
SKU-HAR-0093,Pneumatic Valve 10,Hardware,20X20X15,6.54 kg,108,5,yes,shelving,43,
SKU-BEA-0094,Hand Cream 10,Beauty,26x17x16,4.52 kg,109,4,do not stack,Fragile - shelving,54,
SKU-BEA-0096,Deodorant 10,Beauty,20 x 22 x 11,5.08 kg,111,6,yes,Shelf,76,"damaged box, inspect"
sku-sna-0097 ,Granola Bites 10,Snacks,26 x 19 x 12,"5,8 kg",112,7,Yes,Shelf,87,
SKU-PET-0099,Pet Shampoo 10,Pets,20X24X15,"5,9 kg",114,15,yes,shelving,109,"damaged box, inspect"
SKU-SNA-0100,Nuts Assorted 11,Snacks,26x20x16,6650,115,10,Y,SHELVING,120,
SKU-PET-0102,Dog Food 20kg 11,Pets,115 x 75 x 45,"20,8 kg",117,5,No,full pallet,142,
SKU-PET-0106,Dog Food 20kg 11,Pets,26×24×16 cm,7.88 kg,121,8,Yes,Shelving,186,
SKU-CLE-0108,Microfiber Cloth 11,Cleaning,20X17X11,"8,4 kg",123,6,Y,SHELVING,208,
SKU-FRO-0109,French Fries 11,Frozen,55X38X34,20360 g,35,5,No,refrigerated 2-8°C,273,
SKU-GAR-0111,Plant Fertilizer 12,Garden,20x19x15,9.28 kg,126,10,No,FRAGILE,241,
SKU-HOM-0112,Laundry Detergent 12,Home,26 x 15 x 16,9560 g,127,11,do not stack,shelving,252,
SKU-GAR-0113,Pruning Shears 12,Garden,32 x 24 x 18,9.84 kg,128,12,YES,SHELVING,263,
SKU-FRO-0114,Berry Smoothie Cubes 12,Frozen,55X38X34,3360 g,40,10,do not stack,Cold,358,"damaged box, inspect"
SKU-GAR-0116,Plant Fertilizer 12,Garden,32x26x14,10.68 kg,131,15,yes,SHELVING,46,September promo
SKU-BEV-0118,Iced Tea 12,Beverages,31x21x18,11240 g,133,3,No,Refrigerated,68,
SKU-BEA-0119,Conditioner 12,Beauty,32x15x18,"11,5 kg",134,15,NO,Fragile - shelving,79,September promo
SKU-GAR-0120,Pruning Shears 13,Garden,115x75x45,"31,8 kg",135,7,No,PALLET,90,
SKU-TOO-0122,Socket Set 13,Tools,123 x 75 x 45,30.34 kg,65,7,Y,full pallet,137,keep upright
SKU-DAI-0123,Cream 35% 13,Dairy,40×29×24 cm,2190 g,37,4,do not stack,Refrigerated,639,
SKU-TOO-0125,Level Tool 13,Tools,28x18x15,15600 g,68,6,YES,shelving,200,new batch
SKU-BEA-0126,Deodorant 13,Beauty,115 x 75 x 45,21.48 kg,141,5,YES,pallet,156,
SKU-HOM-0127,Laundry Detergent 13,Home,26x24x12,13.76 kg,142,12,yes,shelving,167,keep upright
SKU-TOO-0131,Utility Knife 14,Tools,28 x 18 x 15,18120,9,12,yes,shelving,136,"damaged box, inspect"
SKU-FRO-0132,Frozen Berry Mix 14,Frozen,55X38X34,9480,58,14,do not stack,Cold,324,
SKU-FRO-0136,French Fries 14,Frozen,55 x 38 x 34,10840 g,62,4,No,Refrigerated,392,
SKU-BEV-0137,Mineral Water 14,Beverages,37X28X20,16560,22,8,yes,Cold room,27,
SKU-BEA-0138,Deodorant 14,Beauty,20x22x11,16840 g,23,6,No,FRAGILE,38,
SKU-CLE-0139,Microfiber Cloth 14,Cleaning,121 x 75 x 45,34.12 kg,24,8,Y,full pallet,49,
SKU-OFF-0140,Stapler 15,Office,24x16x9,4.4 kg,170,8,NO,Shelving,290,
SKU-CLE-0141,Mop Head 15,Cleaning,20 x 24 x 15,17680 g,26,11,do not stack,shelving,71,
SKU-BEA-0142,Conditioner 15,Beauty,121x75x46,"36,0 kg",27,8,yes,Pallet,82,
SKU-BEA-0144,Conditioner 15,Beauty,115x75x45,32.52 kg,29,8,yes,pallet,104,
SKU-PET-0146,Dog Food 20kg 15,Pets,127 x 75 x 45,29080 g,31,7,Yes,Pallet,126,
sku-bea-0148 ,Perfume Roll 15,Beauty,26×24×16 cm,"19,6 kg",33,2,No,Shelf,148,
SKU-BEV-0150,Energy Drink 16,Beverages,25x19x14,"20,2 kg",35,7,Yes,Cold,170,September promo
SKU-BEA-0151,Body Lotion 16,Beauty,26×26×12 cm,20480 g,36,5,NO,Shelf,181,
SKU-GAR-0153,Watering Can 16,Garden,20x19x15,"21,0 kg",38,10,yes,Fragile,203,
SKU-TOO-0154,Utility Knife 16,Tools,28X18X15,"8,9 kg",32,7,do not stack,SHELVING,49,keep upright
SKU-PET-0155,Flea Collar 16,Pets,32 x 24 x 18,21.6 kg,40,15,Y,Shelf,225,
SKU-GAR-0157,Pruning Shears 16,Garden,26×17×12 cm,22160,42,14,YES,shelving,247,
SKU-PET-0160,Cat Toy 17,Pets,26×19×16 cm,0.6 kg,45,6,yes,SHELVING,30,new batch
Item code,Description,Family,Box size (cm),Weight,Current stock,Units per box,Stackable,Storage,90d turnover,Comment
SKU-BEV-0162,Iced Tea 17,Beverages,25 x 26 x 14,1160 g,47,5,do not stack,Cold,52,"damaged box, inspect"
SKU-BEA-0163,Hand Cream 17,Beauty,26 x 20 x 12,1440 g,48,3,Yes,Shelf,63,
SKU-DAI-0164,Whole Milk 17,Dairy,40 x 29 x 24,15.72 kg,78,3,NO,Refrigerated,552,
SKU-HOM-0166,Disinfectant Spray 17,Home,26x22x16,2280 g,51,9,yes,shelving,96,
SKU-BEA-0168,Conditioner 17,Beauty,20x15x11,2840,53,8,Y,shelving,118,September promo
SKU-DAI-0169,Yogurt Cup 17,Dairy,40 x 29 x 24,17370,83,8,do not stack,Refrigerated,617,September promo
sku-sna-0171 ,Trail Mix 18,Snacks,20X17X15,4130 g,56,11,Y,Shelving,151,
SKU-TOO-0172,Measuring Tape 18,Tools,28X18X15,16.44 kg,50,11,YES,Shelving,47,September promo
SKU-PET-0173,Pet Shampoo 18,Pets,127x75x48,23.24 kg,58,5,Yes,pallet,173,new batch
SKU-BEV-0174,Energy Drink 18,Beverages,25 x 21 x 14,4520,59,3,YES,Cold room,184,
SKU-BEV-0176,Energy Drink 18,Beverages,37x26x16,5.08 kg,61,5,yes,Cold,206,
SKU-BEA-0177,Conditioner 18,Beauty,20 x 20 x 15,5360 g,62,3,YES,SHELVING,217,keep upright
SKU-FRO-0179,Frozen Pizza 18,Frozen,55X38X34,"6,8 kg",105,5,do not stack,Cold,443,keep upright
SKU-BEV-0180,Sparkling Water 19,Beverages,25 x 24 x 14,6200,65,9,yes,Cold room,250,keep upright
SKU-BEA-0183,Hand Cream 19,Beauty,20×24×15 cm,7040,68,9,YES,SHELVING,33,"damaged box, inspect"
SKU-DAI-0184,Yogurt Cup 19,Dairy,40X29X24,2520,98,9,NO,Cold,812,"damaged box, inspect"
sku-bea-0185 ,Conditioner 19,Beauty,32x17x18,7.6 kg,70,11,YES,Shelving,55,September promo
SKU-SNA-0188,Nuts Assorted 19,Snacks,32X19X14,8890,73,14,No,Shelving,88,"damaged box, inspect"
SKU-BEA-0191,Perfume Roll 20,Beauty,127x75x48,20.28 kg,76,5,No,full pallet,121,September promo
SKU-BEV-0192,Iced Tea 20,Beverages,25X19X14,"9,6 kg",77,7,yes,Refrigerated,132,
SKU-BEA-0193,Deodorant 20,Beauty,26 x 26 x 12,9840 g,78,5,YES,Shelving,143,keep upright
SKU-GAR-0195,Potting Mix 20,Garden,20x19x15,"10,4 kg",80,10,Y,Shelf,165,
SKU-FRO-0196,Frozen Berry Mix 20,Frozen,55X38X34,"12,5 kg",32,8,No,Cold room,392,keep upright
SKU-SNA-0199,Potato Chips 20,Snacks,26x17x12,11.97 kg,84,11,No,shelving,209,"damaged box, inspect"
SKU-TOO-0200,Level Tool 21,Tools,28×18×15 cm,9300,13,11,Y,Shelving,65,"damaged box, inspect"
SKU-BEV-0202,Sparkling Water 21,Beverages,31x21x18,12360 g,87,3,Y,Cold,242,
SKU-FRO-0203,French Fries 21,Frozen,55 x 38 x 34,"14,9 kg",39,15,do not stack,Cold,171,September promo
SKU-HOM-0204,Laundry Detergent 21,Home,115 x 75 x 45,32.92 kg,89,8,YES,Pallet,264,
SKU-PET-0205,Paw Cream 21,Pets,121X75X45,24200,90,6,yes,PALLET,25,
SKU-HOM-0208,Laundry Detergent 21,Home,26x22x16,14040,93,9,yes,SHELVING,58,keep upright
SKU-CLE-0209,Microfiber Cloth 21,Cleaning,32 x 19 x 18,14320,94,9,NO,Fragile,69,
sku-too-0210 ,Utility Knife 22,Tools,28×18×15 cm,13500,23,7,NO,SHELVING,85,
SKU-FRO-0213,Mixed Vegetables 22,Frozen,55 x 38 x 34,18.32 kg,49,11,do not stack,Cold,341,"damaged box, inspect"
SKU-BEA-0215,Body Lotion 22,Beauty,127x75x48,35000 g,100,8,YES,pallet,135,
SKU-TOO-0216,Level Tool 22,Tools,28×18×15 cm,16020,29,13,YES,SHELVING,211,new batch
SKU-PET-0217,Cat Toy 22,Pets,26 x 15 x 12,16.56 kg,102,7,No,shelving,157,
SKU-BEV-0219,Energy Drink 22,Beverages,25×22×17 cm,"17,1 kg",104,6,NO,Cold,179,
SKU-FRO-0220,Frozen Berry Mix 23,Frozen,55X38X34,2000 g,56,4,YES,Cold room,120,keep upright
SKU-TOO-0221,Utility Knife 23,Tools,28×18×15 cm,"18,1 kg",34,4,Yes,Shelf,126,new batch
SKU-SNA-0223,Pretzel Mix 23,Snacks,121X75X45,"35,7 kg",108,8,Y,pallet,223,keep upright
SKU-OFF-0225,Label Roll 23,Office,24x16x9,2.2 kg,45,9,yes,Shelf,275,keep upright
SKU-PET-0227,Paw Cream 23,Pets,32×17×18 cm,19360,112,3,Yes,Shelving,267,
SKU-OFF-0228,Stapler 23,Office,24×16×9 cm,"2,8 kg",48,12,Y,SHELVING,302,
sku-gar-0229 ,Plant Fertilizer 23,Garden,26×22×12 cm,"19,9 kg",114,2,do not stack,SHELVING,39,keep upright
sku-cle-0231 ,Microfiber Cloth 24,Cleaning,20X15X15,20480,116,3,yes,SHELVING,61,new batch
SKU-SNA-0233,Pretzel Mix 24,Snacks,32 x 20 x 18,21490,118,3,Yes,Shelving,83,
SKU-OFF-0236,A4 Folder 24,Office,24×16×9 cm,4400 g,56,6,YES,Shelf,114,
SKU-HAR-0237,Electrical Relay 24,Hardware,20X19X15,24460,122,9,Yes,Shelving,127,new batch
SKU-FRO-0238,Mixed Vegetables 24,Frozen,55x38x34,8119,74,8,NO,Refrigerated,426,new batch
SKU-CLE-0240,Bleach 25,Cleaning,20x20x11,600,125,12,NO,SHELVING,160,
Item code,Description,Family,Box size (cm),Weight,Current stock,Units per box,Stackable,Storage,90d turnover,Comment
SKU-BEV-0242,Sparkling Water 25,Beverages,37×28×16 cm,"1,2 kg",127,15,NO,Cold room,182,
SKU-SNA-0244,Trail Mix 25,Snacks,26 x 19 x 16,2170 g,129,14,No,Shelf,204,
SKU-TOO-0245,Level Tool 25,Tools,28 x 18 x 15,"9,3 kg",58,14,Yes,shelving,60,"damaged box, inspect"
SKU-FRO-0246,Berry Smoothie Cubes 25,Frozen,55x38x34,"10,8 kg",82,2,Yes,refrigerated 2-8°C,222,
SKU-CLE-0248,All-Purpose Wipes 25,Cleaning,127x75x45,18840 g,133,4,Yes,full pallet,248,keep upright
SKU-OFF-0249,Ink Cartridge 25,Office,24×16×9 cm,2200,69,5,yes,Shelf,231,"damaged box, inspect"
SKU-GAR-0250,Watering Can 26,Garden,26x22x16,3400 g,135,9,NO,Fragile - shelving,20,
SKU-HOM-0251,Bathroom Gel 26,Home,32×19×18 cm,3680 g,136,10,NO,Fragile,31,
SKU-HOM-0253,Air Freshener 26,Home,26 x 24 x 12,4240 g,138,12,YES,Shelf,53,
SKU-HAR-0254,Bearing 6205 26,Hardware,32x20x14,"6,8 kg",139,12,Y,Shelving,64,
sku-off-0257 ,Stapler 26,Office,119x75x45,22800,77,5,Yes,full pallet,303,"damaged box, inspect"
SKU-OFF-0259,Binder Clips 26,Office,24 x 16 x 9,4.2 kg,79,15,Yes,shelving,321,
SKU-FRO-0261,French Fries 27,Frozen,55x38x34,"15,9 kg",97,3,Y,Refrigerated,137,September promo
SKU-HOM-0262,Bathroom Gel 27,Home,26 x 17 x 16,6.76 kg,17,7,YES,Shelf,152,
sku-cle-0263 ,Trash Bag 27,Cleaning,32 x 26 x 18,"7,0 kg",18,7,Yes,shelving,163,September promo
SKU-BEA-0264,Body Lotion 27,Beauty,115×75×45 cm,"19,3 kg",19,4,YES,PALLET,174,new batch
SKU-HAR-0266,Industrial Screwdriver 27,Hardware,32×15×14 cm,10180,21,10,Yes,Shelving,196,
SKU-FRO-0267,Mixed Vegetables 27,Frozen,55X38X34,17980,103,9,Yes,refrigerated 2-8°C,239,new batch
SKU-PET-0270,Dog Food 20kg 28,Pets,115x75x45,23000,25,5,do not stack,PALLET,240,
SKU-FRO-0272,Frozen Berry Mix 28,Frozen,55x38x34,"19,7 kg",18,14,Yes,Refrigerated,324,
sku-bev-0273 ,Craft Lager 28,Beverages,25x17x17,9840,28,4,NO,Cold,23,
SKU-BEA-0274,Body Lotion 28,Beauty,26 x 24 x 16,10.12 kg,29,2,Y,Shelving,34,keep upright
SKU-CLE-0276,Mop Head 28,Cleaning,115x75x45,"26,7 kg",31,6,Y,pallet,56,"damaged box, inspect"
SKU-FRO-0278,French Fries 28,Frozen,55×38×34 cm,3020,24,6,YES,Cold,426,September promo
SKU-TOO-0279,Utility Knife 28,Tools,28X18X15,4.68 kg,27,6,yes,SHELVING,204,
SKU-CLE-0282,Mop Head 29,Cleaning,115×75×45 cm,30360 g,37,7,YES,Pallet,122,new batch
SKU-OFF-0283,Label Roll 29,Office,24x16x9,4.2 kg,103,11,No,Fragile - shelving,277,
SKU-OFF-0284,Stapler 29,Office,24×16×9 cm,4400 g,104,12,Yes,Shelving,286,keep upright
SKU-HAR-0285,Pneumatic Valve 29,Hardware,20×22×15 cm,"15,5 kg",40,15,YES,Fragile,155,
SKU-HOM-0286,Laundry Detergent 29,Home,26 x 19 x 16,13480 g,41,3,Y,Shelf,166,
sku-gar-0287 ,Potting Mix 29,Garden,32X15X18,13.76 kg,42,4,NO,SHELVING,177,
SKU-FRO-0288,Frozen Pizza 29,Frozen,55×38×34 cm,6420,34,2,NO,Cold room,256,new batch
sku-hom-0289 ,Disinfectant Spray 29,Home,26X20X12,"14,3 kg",44,6,NO,shelving,199,
SKU-BEA-0291,Hand Cream 30,Beauty,20X26X15,14.88 kg,46,5,NO,Shelving,221,
SKU-SNA-0292,Granola Bites 30,Snacks,121X75X46,"27,6 kg",47,6,YES,Pallet,232,keep upright
SKU-TOO-0295,Level Tool 30,Tools,28X18X15,11400 g,43,8,Yes,Shelving,160,
SKU-FRO-0296,French Fries 30,Frozen,55 x 38 x 34,"9,1 kg",42,10,No,Refrigerated,392,
SKU-SNA-0298,Trail Mix 30,Snacks,121 x 75 x 46,31290,53,7,NO,full pallet,48,
SKU-CLE-0299,Microfiber Cloth 30,Cleaning,32 x 22 x 18,17120,54,15,Y,Shelf,59,keep upright
SKU-BEV-0301,Iced Tea 31,Beverages,31X17X14,17680 g,56,4,Y,refrigerated 2-8°C,81,
SKU-DAI-0303,Cream Cheese 31,Dairy,40X29X24,2190 g,107,2,NO,Cold room,499,keep upright
SKU-PET-0304,Paw Cream 31,Pets,26x17x16,"18,5 kg",59,10,yes,shelving,114,
SKU-BEA-0308,Deodorant 31,Beauty,32x15x14,"19,6 kg",63,8,do not stack,FRAGILE,158,September promo
SKU-HAR-0309,Bearing 6205 31,Hardware,20 x 24 x 15,22220,64,11,do not stack,Shelf,169,"damaged box, inspect"
SKU-BEA-0310,Hand Cream 32,Beauty,121×75×46 cm,38200 g,65,9,yes,pallet,180,
SKU-BEV-0311,Iced Tea 32,Beverages,37X19X20,"20,5 kg",66,14,YES,Cold,191,
SKU-BEA-0312,Body Lotion 32,Beauty,20x26x11,20760 g,67,12,NO,SHELVING,202,
SKU-DAI-0313,Curd Set 32,Dairy,40x29x24,5490,117,12,NO,Cold,629,
sku-sna-0315 ,Trail Mix 32,Snacks,20×15×15 cm,22.05 kg,70,15,yes,Shelving,235,
SKU-HOM-0316,Laundry Detergent 32,Home,26x24x16,21880,71,5,yes,shelving,246,
SKU-PET-0318,Paw Cream 32,Pets,20 x 17 x 11,22440 g,73,10,yes,Shelving,268,
SKU-SNA-0319,Trail Mix 32,Snacks,26x26x12,23170,74,5,yes,Fragile,29,new batch
,TOTAL,200,,,,,,,,
