id,sku,name,category,packageWeightKg,stock,picks,packageLengthM,packageWidthM,packageHeightM,unitsPerContainer,stackable,allowHorizontalRotation,storageType,velocity,visualType
"P098","SKU-TOO-0098","Socket Set 10","Tools",4.26,41,203,0.28,0.18,0.15,7,TRUE,TRUE,"shelf","C","bottle"
"P099","SKU-PET-0099","Pet Shampoo 10","Pet Supplies",5.92,114,109,0.2,0.24,0.15,15,TRUE,TRUE,"shelf","B","crate"
"P100","SKU-SNA-0100","Nuts Assorted 11","Snacks",6.65,115,120,0.26,0.2,0.16,10,TRUE,TRUE,"shelf","C","drum"
"P101","SKU-BEV-0101","Craft Lager 11","Beverages",6.48,116,131,0.37,0.19,0.2,14,FALSE,TRUE,"refrigerated","C","tube"
"P102","SKU-PET-0102","Dog Food 20kg 11","Pet Supplies",20.76,117,142,1.15,0.75,0.45,5,FALSE,TRUE,"pallet","A","pallet"
"P103","SKU-HOM-0103","Disinfectant Spray 11","Home Care",7.04,118,153,0.26,0.22,0.12,2,FALSE,TRUE,"fragile","A","pack"
"P104","SKU-SNA-0104","Potato Chips 11","Snacks",17.77,119,164,1.27,0.75,0.45,4,FALSE,TRUE,"pallet","B","pallet"
"P105","SKU-CLE-0105","Microfiber Cloth 11","Cleaning",7.6,120,175,0.2,0.15,0.15,3,FALSE,TRUE,"shelf","B","bag"
"P106","SKU-PET-0106","Dog Food 20kg 11","Pet Supplies",7.88,121,186,0.26,0.24,0.16,8,TRUE,TRUE,"shelf","C","bottle"
"P107","SKU-OFF-0107","Label Roll 11","Office",2.6,137,253,0.24,0.16,0.09,3,TRUE,TRUE,"shelf","B","crate"
"P108","SKU-CLE-0108","Microfiber Cloth 11","Cleaning",8.44,123,208,0.2,0.17,0.11,6,TRUE,TRUE,"shelf","C","drum"
"P109","SKU-FRO-0109","French Fries 11","Frozen",20.36,35,273,0.55,0.38,0.34,5,FALSE,TRUE,"refrigerated","A","tube"
"P110","SKU-HOM-0110","Floor Cleaner 12","Home Care",9,125,230,0.32,0.22,0.14,9,TRUE,TRUE,"shelf","B","can"
"P111","SKU-GAR-0111","Plant Fertilizer 12","Gardening",9.28,126,241,0.2,0.19,0.15,10,FALSE,FALSE,"fragile","A","pack"
"P112","SKU-HOM-0112","Laundry Detergent 12","Home Care",9.56,127,252,0.26,0.15,0.16,11,FALSE,TRUE,"shelf","A","box"
"P113","SKU-GAR-0113","Pruning Shears 12","Gardening",9.84,128,263,0.32,0.24,0.18,12,TRUE,TRUE,"shelf","A","bag"
"P114","SKU-FRO-0114","Berry Smoothie Cubes 12","Frozen",3.36,40,358,0.55,0.38,0.34,10,FALSE,TRUE,"refrigerated","B","bottle"
"P115","SKU-HOM-0115","Laundry Detergent 12","Home Care",10.4,130,35,0.26,0.17,0.12,14,FALSE,TRUE,"shelf","C","crate"
"P116","SKU-GAR-0116","Plant Fertilizer 12","Gardening",10.68,131,46,0.32,0.26,0.14,15,TRUE,TRUE,"shelf","A","drum"
"P117","SKU-FRO-0117","Mixed Vegetables 12","Frozen",4.38,43,409,0.55,0.38,0.34,13,TRUE,TRUE,"refrigerated","B","tube"
"P118","SKU-BEV-0118","Iced Tea 12","Beverages",11.24,133,68,0.31,0.21,0.18,3,FALSE,TRUE,"refrigerated","B","can"
"P119","SKU-BEA-0119","Conditioner 12","Beauty",11.52,134,79,0.32,0.15,0.18,15,FALSE,FALSE,"fragile","A","pack"
"P120","SKU-GAR-0120","Pruning Shears 13","Gardening",31.8,135,90,1.15,0.75,0.45,7,FALSE,TRUE,"pallet","C","pallet"
"P121","SKU-SNA-0121","Pretzel Mix 13","Snacks",12.53,136,101,0.26,0.2,0.12,3,TRUE,TRUE,"shelf","C","bag"
"P122","SKU-TOO-0122","Socket Set 13","Tools",30.34,65,137,1.23,0.75,0.45,7,TRUE,FALSE,"pallet","C","pallet"
"P123","SKU-DAI-0123","Cream 35% 13","Dairy",2.19,37,639,0.4,0.29,0.24,4,FALSE,FALSE,"refrigerated","A","crate"
"P124","SKU-BEA-0124","Conditioner 13","Beauty",24.92,139,134,1.21,0.75,0.46,6,TRUE,FALSE,"pallet","B","pallet"
"P125","SKU-TOO-0125","Level Tool 13","Tools",15.6,68,200,0.28,0.18,0.15,6,TRUE,TRUE,"shelf","C","tube"
"P126","SKU-BEA-0126","Deodorant 13","Beauty",21.48,141,156,1.15,0.75,0.45,5,TRUE,TRUE,"pallet","B","pallet"
"P127","SKU-HOM-0127","Laundry Detergent 13","Home Care",13.76,142,167,0.26,0.24,0.12,12,TRUE,TRUE,"shelf","B","pack"
"P128","SKU-GAR-0128","Plant Fertilizer 13","Gardening",14.04,143,178,0.32,0.2,0.14,13,FALSE,FALSE,"fragile","B","box"
"P129","SKU-TOO-0129","Utility Knife 13","Tools",17.28,72,94,0.28,0.18,0.15,10,TRUE,TRUE,"shelf","C","bag"
"P130","SKU-FRO-0130","Frozen Pizza 14","Frozen",8.8,56,290,0.55,0.38,0.34,12,TRUE,FALSE,"refrigerated","B","bottle"
"P131","SKU-TOO-0131","Utility Knife 14","Tools",18.12,9,136,0.28,0.18,0.15,12,TRUE,TRUE,"shelf","C","crate"
"P132","SKU-FRO-0132","Frozen Berry Mix 14","Frozen",9.48,58,324,0.55,0.38,0.34,14,FALSE,TRUE,"refrigerated","A","drum"
"P133","SKU-TOO-0133","Utility Knife 14","Tools",18.96,11,178,0.28,0.18,0.15,14,FALSE,TRUE,"shelf","C","tube"
"P134","SKU-PET-0134","Flea Collar 14","Pet Supplies",35.72,19,244,1.27,0.75,0.45,8,TRUE,TRUE,"pallet","B","pallet"
"P135","SKU-BEV-0135","Mineral Water 14","Beverages",16,20,255,0.25,0.22,0.17,6,TRUE,TRUE,"refrigerated","C","pack"
"P136","SKU-FRO-0136","French Fries 14","Frozen",10.84,62,392,0.55,0.38,0.34,4,FALSE,TRUE,"refrigerated","B","box"
"P137","SKU-BEV-0137","Mineral Water 14","Beverages",16.56,22,27,0.37,0.28,0.2,8,TRUE,TRUE,"refrigerated","A","bag"
"P138","SKU-BEA-0138","Deodorant 14","Beauty",16.84,23,38,0.2,0.22,0.11,6,FALSE,TRUE,"fragile","A","bottle"
"P139","SKU-CLE-0139","Microfiber Cloth 14","Cleaning",34.12,24,49,1.21,0.75,0.45,8,TRUE,FALSE,"pallet","B","pallet"
"P140","SKU-OFF-0140","Stapler 15","Office",4.4,170,290,0.24,0.16,0.09,8,FALSE,TRUE,"shelf","B","drum"
"P141","SKU-CLE-0141","Mop Head 15","Cleaning",17.68,26,71,0.2,0.24,0.15,11,FALSE,TRUE,"shelf","C","tube"
"P142","SKU-BEA-0142","Conditioner 15","Beauty",35.96,27,82,1.21,0.75,0.46,8,TRUE,FALSE,"pallet","C","pallet"
"P143","SKU-HOM-0143","Air Freshener 15","Home Care",27.24,28,93,1.27,0.75,0.48,6,FALSE,TRUE,"pallet","C","pallet"
"P144","SKU-BEA-0144","Conditioner 15","Beauty",32.52,29,104,1.15,0.75,0.45,8,TRUE,TRUE,"pallet","A","pallet"
"P145","SKU-HOM-0145","Floor Cleaner 15","Home Care",37.8,30,115,1.21,0.75,0.45,9,TRUE,TRUE,"pallet","C","pallet"
"P146","SKU-PET-0146","Dog Food 20kg 15","Pet Supplies",29.08,31,126,1.27,0.75,0.45,7,TRUE,TRUE,"pallet","A","pallet"
"P147","SKU-BEV-0147","Craft Lager 15","Beverages",19.36,32,137,0.25,0.17,0.17,4,TRUE,TRUE,"refrigerated","B","crate"
"P148","SKU-BEA-0148","Perfume Roll 15","Beauty",19.64,33,148,0.26,0.24,0.16,2,FALSE,FALSE,"shelf","B","drum"
"P149","SKU-SNA-0149","Trail Mix 15","Snacks",20.37,34,159,0.32,0.2,0.18,3,TRUE,FALSE,"shelf","B","tube"
"P150","SKU-BEV-0150","Energy Drink 16","Beverages",20.2,35,170,0.25,0.19,0.14,7,TRUE,TRUE,"refrigerated","C","can"
"P151","SKU-BEA-0151","Body Lotion 16","Beauty",20.48,36,181,0.26,0.26,0.12,5,FALSE,FALSE,"shelf","A","pack"
"P152","SKU-OFF-0152","A4 Folder 16","Office",2,182,138,0.24,0.16,0.09,6,TRUE,TRUE,"shelf","B","box"
"P153","SKU-GAR-0153","Watering Can 16","Gardening",21.04,38,203,0.2,0.19,0.15,10,TRUE,FALSE,"fragile","B","bag"
"P154","SKU-TOO-0154","Utility Knife 16","Tools",8.88,32,49,0.28,0.18,0.15,7,FALSE,TRUE,"shelf","C","bottle"
"P155","SKU-PET-0155","Flea Collar 16","Pet Supplies",21.6,40,225,0.32,0.24,0.18,15,TRUE,TRUE,"shelf","B","crate"
"P156","SKU-OFF-0156","Label Roll 16","Office",2.8,186,174,0.24,0.16,0.09,10,TRUE,FALSE,"shelf","B","drum"
"P157","SKU-GAR-0157","Pruning Shears 16","Gardening",22.16,42,247,0.26,0.17,0.12,14,TRUE,TRUE,"shelf","C","tube"
"P158","SKU-BEA-0158","Deodorant 16","Beauty",22.44,43,258,0.32,0.26,0.14,12,TRUE,FALSE,"shelf","C","can"
"P159","SKU-DAI-0159","Cream 35% 16","Dairy",14.07,73,487,0.4,0.29,0.24,12,FALSE,TRUE,"refrigerated","A","pack"
"P160","SKU-PET-0160","Cat Toy 17","Pet Supplies",0.6,45,30,0.26,0.19,0.16,6,TRUE,TRUE,"shelf","C","box"
"P161","SKU-SNA-0161","Granola Bites 17","Snacks",1.33,46,41,0.32,0.15,0.18,15,FALSE,TRUE,"shelf","C","bag"
"P162","SKU-BEV-0162","Iced Tea 17","Beverages",1.16,47,52,0.25,0.26,0.14,5,FALSE,TRUE,"refrigerated","A","bottle"
"P163","SKU-BEA-0163","Hand Cream 17","Beauty",1.44,48,63,0.26,0.2,0.12,3,TRUE,TRUE,"shelf","A","crate"
"P164","SKU-DAI-0164","Whole Milk 17","Dairy",15.72,78,552,0.4,0.29,0.24,3,FALSE,TRUE,"refrigerated","A","drum"
"P165","SKU-FRO-0165","French Fries 17","Frozen",2,91,205,0.55,0.38,0.34,5,TRUE,TRUE,"refrigerated","B","tube"
"P166","SKU-HOM-0166","Disinfectant Spray 17","Home Care",2.28,51,96,0.26,0.22,0.16,9,TRUE,TRUE,"shelf","A","can"
"P167","SKU-HAR-0167","Industrial Screwdriver 17","Hardware",4.86,52,107,0.32,0.19,0.18,9,TRUE,TRUE,"shelf","B","pack"
"P168","SKU-BEA-0168","Conditioner 17","Beauty",2.84,53,118,0.2,0.15,0.11,8,TRUE,TRUE,"shelf","B","box"
"P169","SKU-DAI-0169","Yogurt Cup 17","Dairy",17.37,83,617,0.4,0.29,0.24,8,FALSE,TRUE,"refrigerated","A","bag"
"P170","SKU-BEA-0170","Conditioner 18","Beauty",3.4,55,140,0.32,0.2,0.14,10,TRUE,TRUE,"shelf","B","bottle"
"P171","SKU-SNA-0171","Trail Mix 18","Snacks",4.13,56,151,0.2,0.17,0.15,11,TRUE,FALSE,"shelf","B","crate"
"P172","SKU-TOO-0172","Measuring Tape 18","Tools",16.44,50,47,0.28,0.18,0.15,11,TRUE,TRUE,"shelf","C","drum"
"P173","SKU-PET-0173","Pet Shampoo 18","Pet Supplies",23.24,58,173,1.27,0.75,0.48,5,TRUE,TRUE,"pallet","B","pallet"
"P174","SKU-BEV-0174","Energy Drink 18","Beverages",4.52,59,184,0.25,0.21,0.14,3,TRUE,TRUE,"refrigerated","B","can"
"P175","SKU-FRO-0175","Frozen Pizza 18","Frozen",5.4,101,375,0.55,0.38,0.34,15,FALSE,TRUE,"refrigerated","B","pack"
"P176","SKU-BEV-0176","Energy Drink 18","Beverages",5.08,61,206,0.37,0.26,0.16,5,TRUE,TRUE,"refrigerated","A","box"
"P177","SKU-BEA-0177","Conditioner 18","Beauty",5.36,62,217,0.2,0.2,0.15,3,TRUE,TRUE,"shelf","C","bag"
"P178","SKU-DAI-0178","Curd Set 18","Dairy",20.34,92,734,0.4,0.29,0.24,3,FALSE,TRUE,"refrigerated","A","bottle"
"P179","SKU-FRO-0179","Frozen Pizza 18","Frozen",6.76,105,443,0.55,0.38,0.34,5,FALSE,FALSE,"refrigerated","A","crate"
"P180","SKU-BEV-0180","Sparkling Water 19","Beverages",6.2,65,250,0.25,0.24,0.14,9,TRUE,TRUE,"refrigerated","C","drum"
"P181","SKU-FRO-0181","Mixed Vegetables 19","Frozen",7.44,17,137,0.55,0.38,0.34,7,TRUE,TRUE,"refrigerated","B","tube"
"P182","SKU-TOO-0182","Socket Set 19","Tools",1.74,60,67,0.28,0.18,0.15,7,TRUE,FALSE,"shelf","C","can"
"P183","SKU-BEA-0183","Hand Cream 19","Beauty",7.04,68,33,0.2,0.24,0.15,9,TRUE,TRUE,"shelf","C","pack"
"P184","SKU-DAI-0184","Yogurt Cup 19","Dairy",2.52,98,812,0.4,0.29,0.24,9,FALSE,TRUE,"refrigerated","A","box"
"P185","SKU-BEA-0185","Conditioner 19","Beauty",7.6,70,55,0.32,0.17,0.18,11,TRUE,TRUE,"shelf","C","bag"
"P186","SKU-OFF-0186","A4 Folder 19","Office",18,216,184,1.19,0.75,0.45,4,TRUE,TRUE,"pallet","B","pallet"
"P187","SKU-BEA-0187","Deodorant 19","Beauty",8.16,72,77,0.26,0.22,0.12,13,TRUE,TRUE,"shelf","A","crate"
"P188","SKU-SNA-0188","Nuts Assorted 19","Snacks",8.89,73,88,0.32,0.19,0.14,14,FALSE,FALSE,"shelf","C","drum"
"P189","SKU-HOM-0189","Air Freshener 19","Home Care",8.72,74,99,0.2,0.15,0.15,4,FALSE,FALSE,"fragile","B","tube"
