August 2026 sales · order detail (WMS export),,,,
Date,Order no.,SKU,Quantity,Customer
01-Aug-26,ORD-100249,SKU-FRO-0278,12,Happy Pet Store
01/08/2026,ORD-100249,SKU-PET-0155,26,San Martin Corner Store
01/08/2026,ORD-100250,SKU-FRO-0296,20,Happy Pet Store
2026-08-01,ORD-100250,SKU-FRO-0179,3,Wong North Supermarkets
01/08/2026,ORD-100252,SKU-PET-0106,8,La Lucha Restaurant
01/08/2026,ORD-100252,SKU-TOO-0125,12,San Martin Corner Store
01/08/2026,ORD-100253,SKU-DAI-0169,2,Wong North Supermarkets
01/08/2026,ORD-100254,SKU-HOM-0262,1,Lucero Minimarket
2026-08-01,ORD-100254,SKU-PET-0017,4,Lince Vet Center
01-Aug-26,ORD-100255,SKU-FRO-0114,11,La Lucha Restaurant
01/08/2026,ORD-100256,SKU-CLE-0041,7,Wong North Supermarkets
2026-08-01,ORD-100256,SKU-BEA-0308,11,El Tornillo Hardware
01/08/2026,ORD-100257,SKU-BEA-0034,7,Delta Construction
2026-08-01,ORD-100257,SKU-DAI-0184,11,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100258,SKU-BEV-0242,26,Andean Group Offices
01-Aug-26,ORD-100258,SKU-BEA-0274,2,Wong North Supermarkets
2026-08-01,ORD-100259,SKU-PET-0227,6,Delta Construction
01/08/2026,ORD-100260,SKU-FRO-0213,12,Andean Group Offices
2026-08-01,ORD-100261,SKU-DAI-0303,3,Delta Construction
2026-08-01,ORD-100261,SKU-FRO-0136,8,San Martin Corner Store
01/08/2026,ORD-100262, SKU-HAR-0266,15,El Tornillo Hardware
2026-08-01,ORD-100262,SKU-BEV-0311,9,Lucero Minimarket
01-Aug-26,ORD-100263,SKU-BEV-0242,27,Delta Construction
01-Aug-26,ORD-100263,SKU-FRO-0114,6,Andean Group Offices
01-Aug-26,ORD-100263,SKU-FRO-0267,7,Delta Construction
2026-08-01,ORD-100264,SKU-FRO-0238,15,Delta Construction
2026-08-01,ORD-100264,SKU-HOM-0089,3,San Martin Corner Store
01-Aug-26,ORD-100265,SKU-GAR-0078,10,Inkafarma Comas Pharmacy
2026-08-01,ORD-100265,SKU-PET-0076,8,Lince Vet Center
01/08/2026,ORD-100266,SKU-OFF-0283,9,Delta Construction
2026-08-01,ORD-100266,SKU-DAI-0164,1,La Lucha Restaurant
01/08/2026,ORD-100267,SKU-DAI-0003,14,San Martin Corner Store
2026-08-01,ORD-100267,SKU-DAI-0070,6,La Lucha Restaurant
01-Aug-26,ORD-100267,SKU-FRO-0085,16,La Lucha Restaurant
01/08/2026,ORD-100268,SKU-FRO-0090,2,Lince Vet Center
01/08/2026,ORD-100268,SKU-TOO-0056,1,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100269,SKU-DAI-0184,16,La Lucha Restaurant
01/08/2026,ORD-100269,SKU-TOO-0295,3,Lince Vet Center
01/08/2026,ORD-100270,SKU-TOO-0049,22,San Martin Corner Store
2026-08-01,ORD-100270,SKU-DAI-0184,16,Lince Vet Center
2026-08-01,ORD-100271,SKU-BEA-0264,6,Inkafarma Comas Pharmacy
01/08/2026,ORD-100271,SKU-FRO-0179,5,La Lucha Restaurant
01-Aug-26,ORD-100271,SKU-DAI-0313,15,El Tornillo Hardware
01/08/2026,ORD-100272,SKU-PET-0087,4,La Lucha Restaurant
01/08/2026,ORD-100272,SKU-DAI-0164,4,La Lucha Restaurant
2026-08-01,ORD-100274,SKU-PET-0040,9,San Martin Corner Store
2026-08-01,ORD-100275,SKU-BEA-0142,2,Happy Pet Store
2026-08-01,ORD-100276,SKU OFF 0257,6,Lucero Minimarket
01/08/2026,ORD-100276,SKU-BEA-0096,8,La Lucha Restaurant
01-Aug-26,ORD-100276,SKU-TOO-0279,11,San Martin Corner Store
01-Aug-26,ORD-100277, SKU-BEV-0192,12,Lince Vet Center
01/08/2026,ORD-100277,SKU-FRO-0179,3,Lucero Minimarket
2026-08-01,ORD-100278,SKU-CLE-0061,12,Lucero Minimarket
01/08/2026,ORD-100279,SKU-TOO-0080,6,La Lucha Restaurant
2026-08-01,ORD-100279,SKU-CLE-0248,1,Happy Pet Store
01/08/2026,ORD-100280,SKU FRO 0203,2,Happy Pet Store
2026-08-01,ORD-100281,SKU-PET-0087,1,Delta Construction
01/08/2026,ORD-100281,SKU-BEV-0005,3,La Lucha Restaurant
2026-08-01,ORD-100281,SKU FRO 0220,8,Happy Pet Store
2026-08-01,ORD-100282,SKU-CLE-0061,16,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100282,SKU-BEA-0144,14,Andean Group Offices
01/08/2026,ORD-100283,SKU-DAI-0303,2,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100283,SKU-GAR-0120,9,Lince Vet Center
2026-08-01,ORD-100284,SKU-FRO-0014,4,Lince Vet Center
01-Aug-26,ORD-100285,SKU-BEA-0119,2,Andean Group Offices
01/08/2026,ORD-100285,SKU-BEA-0144,1,Happy Pet Store
01-Aug-26,ORD-100286,SKU-PET-0227,6,La Lucha Restaurant
01/08/2026,ORD-100286,SKU-BEA-0073,9,La Lucha Restaurant
01/08/2026,ORD-100286,SKU-DAI-0303,4,San Martin Corner Store
2026-08-01,ORD-100287,SKU-OFF-0257,7,Delta Construction
2026-08-01,ORD-100287,SKU-OFF-0228,6,Happy Pet Store
01/08/2026,ORD-100289,sku-bev-0033,4,La Lucha Restaurant
01/08/2026,ORD-100290,SKU-TOO-0295,5,Happy Pet Store
01-Aug-26,ORD-100291,SKU-PET-0106,1,Happy Pet Store
01/08/2026,ORD-100291,SKU-BEA-0177,1,San Martin Corner Store
2026-08-01,ORD-100291,SKU-OFF-0140,1,Andean Group Offices
2026-08-01,ORD-100292,SKU-SNA-0223,4,Lucero Minimarket
2026-08-01,ORD-100292,SKU-OFF-0283,20,San Martin Corner Store
2026-08-01,ORD-100293,SKU-CLE-0248,1,Andean Group Offices
01/08/2026,ORD-100294,SKU-BEA-0308,9,Wong North Supermarkets
01/08/2026,ORD-100295,SKU-TOO-0131,2,Andean Group Offices
01-Aug-26,ORD-100296,SKU-DAI-0169,11,Inkafarma Comas Pharmacy
01/08/2026,ORD-100297,SKU-BEA-0183,1,Lucero Minimarket
01-Aug-26,ORD-100297,SKU-FRO-0296,17,Lucero Minimarket
01-Aug-26,ORD-100298,SKU-DAI-0303,1,Lucero Minimarket
01/08/2026,ORD-100299,SKU-HAR-0285,6,Andean Group Offices
2026-08-01,ORD-100299,sku-bea-0073,21,Lucero Minimarket
2026-08-01,ORD-100299,SKU-HOM-0204,8,Happy Pet Store
01/08/2026,ORD-100300,SKU-BEA-0177,2,San Martin Corner Store
01/08/2026,ORD-100300,SKU-FRO-0114,20,Andean Group Offices
2026-08-01,ORD-100300,SKU-GAR-0157,17,Happy Pet Store
01-Aug-26,ORD-100301,SKU-OFF-0283,22,Delta Construction
01/08/2026,ORD-100302,SKU-GAR-0157,11,La Lucha Restaurant
01/08/2026,ORD-100303,SKU-FRO-0090,8,San Martin Corner Store
01-Aug-26,ORD-100303,SKU-FRO-0288,4,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100306,SKU-DAI-0164,6,El Tornillo Hardware
01-Aug-26,ORD-100306,SKU-GAR-0195,17,El Tornillo Hardware
01-Aug-26,ORD-100306,SKU-HOM-0204,3,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100307,SKU-CLE-0041,4,Andean Group Offices
01/08/2026,ORD-100307,SKU-FRO-0114,13,Lucero Minimarket
01/08/2026,ORD-100307,SKU-HOM-0089,8,San Martin Corner Store
2026-08-01,ORD-100308,SKU-CLE-0248,7,La Lucha Restaurant
2026-08-01,ORD-100308,SKU-HOM-0262,9,Andean Group Offices
01-Aug-26,ORD-100308,SKU-PET-0173,1,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100309,SKU-BEA-0177,5,La Lucha Restaurant
01/08/2026,ORD-100309,SKU-PET-0017,4,Wong North Supermarkets
01-Aug-26,ORD-100309,SKU-BEV-0037,8,Wong North Supermarkets
01-Aug-26,ORD-100310,SKU-BEV-0084,1,Andean Group Offices
01/08/2026,ORD-100310,SKU-OFF-0284,6,Happy Pet Store
01/08/2026,ORD-100311,SKU-OFF-0225,15,Lucero Minimarket
01/08/2026,ORD-100311,SKU-FRO-0196,3,San Martin Corner Store
01-Aug-26,ORD-100311,SKU-PET-0227,4,Inkafarma Comas Pharmacy
01/08/2026,ORD-100312,SKU-FRO-0136,8,El Tornillo Hardware
01/08/2026,ORD-100312,SKU-FRO-0213,11,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100313,SKU-OFF-0225,1,La Lucha Restaurant
01/08/2026,ORD-100313, SKU-GAR-0078,7,Wong North Supermarkets
01/08/2026,ORD-100313,SKU-BEV-0176,3,San Martin Corner Store
01/08/2026,ORD-100314,SKU-DAI-0303,4,La Lucha Restaurant
01/08/2026,ORD-100314,SKU-HOM-0204,16,Lince Vet Center
01/08/2026,ORD-100315,SKU-OFF-0225,15,La Lucha Restaurant
01-Aug-26,ORD-100315,SKU-HOM-0286,3,El Tornillo Hardware
01-Aug-26,ORD-100315,SKU-SNA-0223,2,Andean Group Offices
2026-08-01,ORD-100316,SKU-BEA-0291,6,Andean Group Offices
01/08/2026,ORD-100316,SKU-FRO-0132,27,El Tornillo Hardware
01-Aug-26,ORD-100317,SKU-BEA-0151,9,El Tornillo Hardware
01-Aug-26,ORD-100317,SKU-DAI-0169,13,Wong North Supermarkets
01/08/2026,ORD-100318,SKU-BEA-0193,9,Happy Pet Store
01/08/2026,ORD-100319,SKU-HOM-0020,1,Lince Vet Center
01/08/2026,ORD-100320,SKU-GAR-0039,7,Inkafarma Comas Pharmacy
2026-08-01,ORD-100321,SKU-CLE-0263,6,San Martin Corner Store
01/08/2026,ORD-100321,SKU-OFF-0043,16,Wong North Supermarkets
01-Aug-26,ORD-100321,SKU-FRO-0085,4,San Martin Corner Store
2026-08-01,ORD-100322,SKU-DAI-0164,5,Andean Group Offices
2026-08-01,ORD-100323,SKU-BEV-0242,21,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100323,SKU-OFF-0228,18,La Lucha Restaurant
2026-08-01,ORD-100324,SKU-OFF-0010,8,El Tornillo Hardware
01/08/2026,ORD-100325,sku-gar-0039,12,Wong North Supermarkets
01-Aug-26,ORD-100325,SKU-CLE-0061,6,Lucero Minimarket
01-Aug-26,ORD-100325,SKU-PET-0040,2,El Tornillo Hardware
2026-08-01,ORD-100326,SKU-GAR-0157,7,La Lucha Restaurant
01/08/2026,ORD-100327,SKU-PET-0318,9,Lucero Minimarket
01/08/2026,ORD-100328,SKU-BEA-0006,28,Happy Pet Store
01-Aug-26,ORD-100328,SKU-PET-0027,12,Happy Pet Store
01-Aug-26,ORD-100329,SKU-SNA-0100,16,Happy Pet Store
2026-08-01,ORD-100329,SKU-BEA-0126,8,El Tornillo Hardware
01/08/2026,ORD-100331,SKU-BEA-0045,10,Delta Construction
01/08/2026,ORD-100331,SKU-GAR-0021,8,Happy Pet Store
01/08/2026,ORD-100332,SKU-PET-0227,2,Andean Group Offices
01-Aug-26,ORD-100333,SKU-CLE-0231,6,Inkafarma Comas Pharmacy
01/08/2026,ORD-100333,SKU-BEA-0168,12,Lucero Minimarket
2026-08-01,ORD-100333,SKU-HAR-0237,8,Inkafarma Comas Pharmacy
01/08/2026,ORD-100334,SKU-DAI-0082,2,Happy Pet Store
01/08/2026,ORD-100335,SKU-BEV-0311,12,Andean Group Offices
01/08/2026,ORD-100336,SKU-DAI-0082,4,Wong North Supermarkets
2026-08-01,ORD-100336,SKU-BEA-0312,13,El Tornillo Hardware
01-Aug-26,ORD-100336,SKU-OFF-0283,2,El Tornillo Hardware
2026-08-01,ORD-100337,SKU-FRO-0085,6,La Lucha Restaurant
2026-08-01,ORD-100338,SKU-DAI-0072,14,Andean Group Offices
01-Aug-26,ORD-100338,SKU-TOO-0295,13,Lince Vet Center
01/08/2026,ORD-100339,SKU-BEA-0193,7,Andean Group Offices
01/08/2026,ORD-100339,SKU-DAI-0082,7,Happy Pet Store
2026-08-01,ORD-100339,SKU-TOO-0125,7,Delta Construction
01-Aug-26,ORD-100340,SKU-DAI-0164,1,Lucero Minimarket
2026-08-01,ORD-100340,SKU-DAI-0164,3,Happy Pet Store
01/08/2026,ORD-100340,SKU-GAR-0021,7,Lucero Minimarket
2026-08-01,ORD-100341,SKU-HOM-0208,8,Delta Construction
01-Aug-26,ORD-100341,SKU-DAI-0164,3,San Martin Corner Store
01/08/2026,ORD-100342,SKU-BEV-0118,3,La Lucha Restaurant
01/08/2026,ORD-100342, SKU-GAR-0157,15,La Lucha Restaurant
01/08/2026,ORD-100342,SKU-BEA-0310,11,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100343,SKU-DAI-0169,2,San Martin Corner Store
01-Aug-26,ORD-100343,SKU-CLE-0282,10,Lince Vet Center
01-Aug-26,ORD-100344,SKU-PET-0017,6,El Tornillo Hardware
2026-08-01,ORD-100344,SKU-DAI-0184,1,El Tornillo Hardware
2026-08-01,ORD-100345,SKU-FRO-0114,2,Inkafarma Comas Pharmacy
2026-08-01,ORD-100345,SKU-GAR-0021,3,El Tornillo Hardware
2026-08-01,ORD-100346,SKU-BEA-0310,9,Lince Vet Center
2026-08-01,ORD-100347,SKU-BEA-0151,8,Wong North Supermarkets
01-Aug-26,ORD-100348,SKU-FRO-0203,29,Wong North Supermarkets
2026-08-01,ORD-100348,SKU-BEA-0264,5,Andean Group Offices
2026-08-01,ORD-100349,SKU-TOO-0122,4,Wong North Supermarkets
01-Aug-26,ORD-100349,SKU-HOM-0089,1,Andean Group Offices
01-Aug-26,ORD-100350,SKU-DAI-0070,14,Delta Construction
01-Aug-26,ORD-100350,SKU-BEV-0219,5,San Martin Corner Store
2026-08-01,ORD-100351,SKU-DAI-0169,15,El Tornillo Hardware
2026-08-01,ORD-100352,SKU-FRO-0136,1,Wong North Supermarkets
01/08/2026,ORD-100352,SKU-DAI-0054,7,Andean Group Offices
01/08/2026,ORD-100353,SKU-PET-0217,8,La Lucha Restaurant
01/08/2026,ORD-100353,SKU-DAI-0123,4,Andean Group Offices
2026-08-01,ORD-100354,SKU-FRO-0114,19,Happy Pet Store
2026-08-01,ORD-100355,SKU-FRO-0288,2,Delta Construction
01/08/2026,ORD-100356,SKU-HOM-0289,11,Inkafarma Comas Pharmacy
2026-08-01,ORD-100356,SKU-OFF-0284,15,San Martin Corner Store
01-Aug-26,ORD-100356,SKU-HOM-0204,7,El Tornillo Hardware
2026-08-01,ORD-100357,SKU-OFF-0259,15,El Tornillo Hardware
01/08/2026,ORD-100358,SKU-HOM-0020,3,Andean Group Offices
01/08/2026,ORD-100358,SKU-HOM-0089,10,Lucero Minimarket
01/08/2026,ORD-100358,SKU-FRO-0238,12,San Martin Corner Store
01/08/2026,ORD-100359,SKU-OFF-0043,5,Lince Vet Center
2026-08-01,ORD-100359,SKU-FRO-0261,1,Lince Vet Center
01-Aug-26,ORD-100359,SKU-PET-0087,2,Lince Vet Center
01/08/2026,ORD-100360,SKU-FRO-0296,14,La Lucha Restaurant
01-Aug-26,ORD-100360,SKU-DAI-0164,2,San Martin Corner Store
01-Aug-26,ORD-100361,SKU-FRO-0136,6,El Tornillo Hardware
2026-08-01,ORD-100361,SKU-CLE-0108,5,Inkafarma Comas Pharmacy
01/08/2026,ORD-100362,SKU-FRO-0196,14,Happy Pet Store
2026-08-01,ORD-100362,SKU-BEA-0177,2,El Tornillo Hardware
01/08/2026,ORD-100363,SKU-BEA-0291,8,Inkafarma Comas Pharmacy
2026-08-01,ORD-100364,SKU-PET-0155,26,Delta Construction
01/08/2026,ORD-100364,SKU-SNA-0057,8,Lucero Minimarket
01-Aug-26,ORD-100364,SKU-CLE-0041,4,La Lucha Restaurant
01-Aug-26,ORD-100365,SKU-BEA-0144,9,Lucero Minimarket
2026-08-01,ORD-100365,SKU-FRO-0203,3,Happy Pet Store
01/08/2026,ORD-100365,SKU-BEV-0162,3,San Martin Corner Store
2026-08-01,ORD-100366,SKU-BEA-0045,17,Inkafarma Comas Pharmacy
2026-08-01,ORD-100366,SKU-PET-0146,10,Delta Construction
2026-08-01,ORD-100367,SKU-BEA-0142,9,Andean Group Offices
2026-08-01,ORD-100368,SKU-HOM-0316,4,Wong North Supermarkets
2026-08-01,ORD-100368,SKU-GAR-0116,17,El Tornillo Hardware
01-Aug-26,ORD-100369,SKU-PET-0318,1,Happy Pet Store
2026-08-01,ORD-100370, SKU-BEA-0144,3,Delta Construction
01-Aug-26,ORD-100372,SKU-HAR-0266,1,La Lucha Restaurant
01-Aug-26,ORD-100372,SKU-DAI-0303,3,Inkafarma Comas Pharmacy
01/08/2026,ORD-100373,SKU-OFF-0259,3,Andean Group Offices
01-Aug-26,ORD-100374,SKU-PET-0024,13,Wong North Supermarkets
2026-08-01,ORD-100375,SKU-BEV-0192,14,Lucero Minimarket
01-Aug-26,ORD-100375,SKU-BEV-0180,16,San Martin Corner Store
01-Aug-26,ORD-100375,SKU-BEV-0301,7,Delta Construction
2026-08-01,ORD-100376,SKU-BEV-0242,27,San Martin Corner Store
01-Aug-26,ORD-100376,SKU-FRO-0109,3,La Lucha Restaurant
01-Aug-26,ORD-100376,SKU-FRO-0296,13,Andean Group Offices
2026-08-01,ORD-100377,SKU-PET-0155,28,San Martin Corner Store
2026-08-01,ORD-100377,SKU-PET-0270,5,San Martin Corner Store
01/08/2026,ORD-100378,SKU-CLE-0141,13,Inkafarma Comas Pharmacy
01/08/2026,ORD-100379,SKU-TOO-0279,12,Lince Vet Center
01-Aug-26,ORD-100379,SKU-OFF-0259,12,Lucero Minimarket
01/08/2026,ORD-100380,sku-bea-0215,11,Inkafarma Comas Pharmacy
2026-08-01,ORD-100380,SKU-TOO-0125,6,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100380, SKU-DAI-0082,4,Lince Vet Center
01-Aug-26,ORD-100381,SKU-DAI-0123,4,Happy Pet Store
2026-08-01,ORD-100381,SKU-TOO-0069,8,Wong North Supermarkets
2026-08-01,ORD-100382,SKU-OFF-0259,27,San Martin Corner Store
2026-08-01,ORD-100382,SKU-DAI-0169,16,San Martin Corner Store
01/08/2026,ORD-100382,SKU-DAI-0054,5,Lince Vet Center
01/08/2026,ORD-100383,SKU-BEV-0150,9,El Tornillo Hardware
2026-08-01,ORD-100383,SKU-SNA-0199,19,Delta Construction
01-Aug-26,ORD-100383,SKU-FRO-0272,25,Wong North Supermarkets
2026-08-01,ORD-100384,SKU-PET-0106,12,La Lucha Restaurant
2026-08-01,ORD-100384,SKU-PET-0146,5,Happy Pet Store
01-Aug-26,ORD-100385,SKU-BEV-0150,6,La Lucha Restaurant
2026-08-01,ORD-100385,SKU-GAR-0021,5,Lucero Minimarket
01/08/2026,ORD-100386,SKU-FRO-0196,2,Inkafarma Comas Pharmacy
01/08/2026,ORD-100386,SKU-SNA-0046,9,El Tornillo Hardware
01/08/2026,ORD-100387,SKU-DAI-0164,2,Lince Vet Center
01-Aug-26,ORD-100387,SKU-BEA-0291,10,La Lucha Restaurant
01-Aug-26,ORD-100388,SKU-BEV-0033,2,San Martin Corner Store
2026-08-01,ORD-100388,SKU-CLE-0061,6,San Martin Corner Store
2026-08-01,ORD-100389,SKU-DAI-0082,6,Lucero Minimarket
01-Aug-26,ORD-100389,SKU-OFF-0074,10,Andean Group Offices
01-Aug-26,ORD-100389,SKU-GAR-0157,9,Delta Construction
01-Aug-26,ORD-100390,SKU-BEA-0312,23,Wong North Supermarkets
01-Aug-26,ORD-100391,SKU-HAR-0266,5,El Tornillo Hardware
2026-08-01,ORD-100391,SKU-BEV-0176,1,Delta Construction
2026-08-01,ORD-100392,SKU-OFF-0140,16,Delta Construction
2026-08-01,ORD-100392,SKU-FRO-0179,1,Happy Pet Store
2026-08-01,ORD-100392,SKU-BEA-0045,10,San Martin Corner Store
01/08/2026,ORD-100393,SKU-FRO-0196,3,Andean Group Offices
01/08/2026,ORD-100393,SKU-OFF-0284,10,Inkafarma Comas Pharmacy
2026-08-01,ORD-100394,SKU-CLE-0018,12,La Lucha Restaurant
2026-08-01,ORD-100394,SKU-DAI-0164,6,Happy Pet Store
01-Aug-26,ORD-100395,SKU-DAI-0003,6,Andean Group Offices
01/08/2026,ORD-100396,SKU-FRO-0136,4,San Martin Corner Store
01-Aug-26,ORD-100396,SKU-BEV-0150,5,Lucero Minimarket
01/08/2026,ORD-100396,SKU-HOM-0089,3,San Martin Corner Store
01/08/2026,ORD-100397,SKU-FRO-0203,20,La Lucha Restaurant
01/08/2026,ORD-100398,SKU-DAI-0082,5,El Tornillo Hardware
01/08/2026,ORD-100398,SKU-DAI-0169,7,Delta Construction
2026-08-01,ORD-100398,SKU-BEA-0177,6,Inkafarma Comas Pharmacy
01-Aug-26,ORD-100399,SKU-FRO-0085,16,Delta Construction
01/08/2026,ORD-100400,SKU-DAI-0164,1,La Lucha Restaurant
01/08/2026,ORD-100400,SKU-DAI-0123,6,Wong North Supermarkets
2026-08-01,ORD-100400,SKU-DAI-0313,13,El Tornillo Hardware
01-Aug-26,ORD-100401,SKU-BEV-0192,8,San Martin Corner Store
01-Aug-26,ORD-100402,SKU-DAI-0169,5,Andean Group Offices
01/08/2026,ORD-100402,SKU-DAI-0054,6,La Lucha Restaurant
2026-08-01,ORD-100404,SKU-GAR-0287,8,Delta Construction
2026-08-01,ORD-100404,SKU-HOM-0112,6,Wong North Supermarkets
2026-08-01,ORD-100405,SKU-HOM-0204,7,Wong North Supermarkets
01/08/2026,ORD-100405,SKU-FRO-0213,8,El Tornillo Hardware
01-Aug-26,ORD-100406,SKU-HAR-0266,10,Lucero Minimarket
01/08/2026,ORD-100406,SKU-FRO-0114,14,Lince Vet Center
01-Aug-26,ORD-100407,SKU-OFF-0236,10,Lucero Minimarket
2026-08-01,ORD-100407,SKU-FRO-0267,16,Wong North Supermarkets
2026-08-01,ORD-100408,SKU-HOM-0262,8,Lucero Minimarket
2026-08-01,ORD-100408,SKU-BEA-0034,7,Lince Vet Center
2026-08-01,ORD-100408,SKU-FRO-0179,6,San Martin Corner Store
01/08/2026,ORD-100409,SKU-BEV-0058,5,Happy Pet Store
01/08/2026,ORD-100410,SKU-TOO-0069,6,Andean Group Offices
01/08/2026,ORD-100410,SKU-CLE-0248,1,El Tornillo Hardware
01/08/2026,ORD-100411,SKU-TOO-0131,8,Lucero Minimarket
01-Aug-26,ORD-100411,SKU-OFF-0283,10,Andean Group Offices
2026-08-01,ORD-100412,SKU-FRO-0179,10,San Martin Corner Store
2026-08-01,ORD-100412,SKU-BEA-0096,12,Delta Construction
2026-08-01,ORD-100412,SKU-BEV-0273,7,San Martin Corner Store
01/08/2026,ORD-100413,SKU-FRO-0014,5,Lucero Minimarket
01/08/2026,ORD-100413,SKU-HAR-0266,8,San Martin Corner Store
01/08/2026,ORD-100414,SKU-BEA-0019,9,San Martin Corner Store
01/08/2026,ORD-100414,SKU-BEA-0215,2,Inkafarma Comas Pharmacy
01/08/2026,ORD-100414,SKU-DAI-0303,1,Lucero Minimarket
01/08/2026,ORD-100415,SKU-FRO-0014,11,Lucero Minimarket
01/08/2026,ORD-100415,sku-cle-0018,8,Inkafarma Comas Pharmacy
01/08/2026,ORD-100416,SKU-GAR-0111,18,San Martin Corner Store
2026-08-01,ORD-100416,SKU-HOM-0316,8,Delta Construction
2026-08-01,ORD-100417,SKU-BEV-0150,5,Inkafarma Comas Pharmacy
2026-08-01,ORD-100417,SKU-DAI-0184,2,Wong North Supermarkets
01/08/2026,ORD-100418,SKU-FRO-0267,9,El Tornillo Hardware
01/08/2026,ORD-100419,SKU-GAR-0078,5,Wong North Supermarkets
01-Aug-26,ORD-100419,SKU-BEA-0264,5,El Tornillo Hardware
2026-08-01,ORD-100420,SKU-OFF-0249,8,Wong North Supermarkets
2026-08-01,ORD-100420,SKU-FRO-0132,19,San Martin Corner Store
01/08/2026,ORD-100420,SKU-DAI-0184,2,San Martin Corner Store
01/08/2026,ORD-100421,SKU-BEA-0163,6,La Lucha Restaurant
01/08/2026,ORD-100422,SKU-BEV-0219,1,La Lucha Restaurant
2026-08-01,ORD-100422,SKU-CLE-0108,7,San Martin Corner Store
01-Aug-26,ORD-100422,SKU-OFF-0283,18,Wong North Supermarkets
01/08/2026,ORD-100423,SKU-DAI-0072,5,Andean Group Offices
01/08/2026,ORD-100423,SKU-OFF-0283,19,Delta Construction
01/08/2026,ORD-100424,SKU-OFF-0249,10,San Martin Corner Store
01/08/2026,ORD-100425,SKU-BEA-0034,23,La Lucha Restaurant
01-Aug-26,ORD-100426,SKU-FRO-0261,3,La Lucha Restaurant
01-Aug-26,ORD-100426,SKU-BEA-0126,5,Lince Vet Center
01/08/2026,ORD-100426,SKU-DAI-0072,7,Happy Pet Store
01/08/2026,ORD-100427,SKU-DAI-0082,4,San Martin Corner Store
01-Aug-26,ORD-100428,SKU-TOO-0131,21,Lucero Minimarket
